epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1041.08,0.54153,0.72103,1.06049,0.94522,0.82522,0.66667,0.7209,0.68166,0.82522,0.66667,0.7209,0.66358,0.36313,0.55245,2.46604,0.85627,0.00053225,0.00053225,0.00053225
31,1074.1,0.55657,0.66823,1.02547,0.90562,0.43973,0.58217,0.54585,0.53818,0.43973,0.58217,0.54585,0.51808,0.34791,0.56342,3.1738,0.8545,0.0005075,0.0005075,0.0005075
32,1107.06,0.52004,0.70241,1.0464,0.88907,0.51529,0.55975,0.52401,0.51691,0.51529,0.55975,0.52401,0.49941,0.35282,0.54208,3.42359,0.8488,0.00048275,0.00048275,0.00048275
33,1140.66,0.52861,0.73584,0.95942,0.89852,0.62919,0.66667,0.61902,0.60351,0.62919,0.66667,0.61658,0.58226,0.3393,0.50255,3.29018,0.84109,0.000458,0.000458,0.000458
34,1173.74,0.51202,0.78148,1.00951,0.92466,0.92779,0.60742,0.753,0.73263,0.92779,0.60742,0.753,0.70449,0.32804,0.457,2.80769,0.83607,0.00043325,0.00043325,0.00043325
35,1207.07,0.50826,0.7675,0.92581,0.89384,0.90355,0.65723,0.77107,0.7672,0.90355,0.65723,0.77107,0.73157,0.3125,0.43109,2.40785,0.83248,0.0004085,0.0004085,0.0004085
36,1240.69,0.49973,0.70927,0.90416,0.88819,0.94513,0.66667,0.81036,0.79964,0.94513,0.66667,0.81036,0.77092,0.29797,0.42941,2.08454,0.83214,0.00038375,0.00038375,0.00038375
37,1274.15,0.4997,0.74008,0.93297,0.89556,0.96852,0.66667,0.79936,0.78976,0.96852,0.66667,0.79936,0.75956,0.28414,0.43079,2.04915,0.83161,0.000359,0.000359,0.000359
38,1305.88,0.47444,0.64075,0.94597,0.90452,0.98042,0.66667,0.7962,0.78719,0.98042,0.66667,0.7962,0.75848,0.2823,0.42832,2.03593,0.83259,0.00033425,0.00033425,0.00033425
39,1337.4,0.46529,0.6278,0.88647,0.87526,0.95302,0.66667,0.79679,0.78941,0.95302,0.66667,0.79679,0.76017,0.28858,0.4236,2.12909,0.83533,0.0003095,0.0003095,0.0003095
40,1368.64,0.46673,0.68126,0.91138,0.88238,0.89844,0.66409,0.84342,0.82908,0.89844,0.66409,0.84342,0.79634,0.31535,0.42084,2.21829,0.84617,0.00028475,0.00028475,0.00028475
41,1403.65,0.41156,0.69792,0.98879,0.90603,0.84548,0.65923,0.84015,0.82297,0.84548,0.65923,0.84015,0.79358,0.32839,0.43358,2.25102,0.85841,0.00026,0.00026,0.00026
42,1435.47,0.43834,0.71187,1.15802,0.88005,0.84582,0.62746,0.82042,0.80515,0.84582,0.62746,0.82042,0.77387,0.33874,0.44445,2.23127,0.85059,0.00023525,0.00023525,0.00023525
43,1466.87,0.42623,0.62366,0.96095,0.87005,0.71049,0.80132,0.82496,0.81903,0.71049,0.80132,0.82496,0.79201,0.348,0.44406,2.18309,0.84276,0.0002105,0.0002105,0.0002105
44,1497.81,0.50848,0.81001,1.08999,0.87104,0.84847,0.6563,0.80455,0.799,0.84847,0.6563,0.80455,0.76327,0.33539,0.43854,2.05527,0.8368,0.00018575,0.00018575,0.00018575
45,1529.21,0.47788,0.83428,0.94931,0.91589,0.87808,0.66667,0.80122,0.79764,0.87808,0.66667,0.80122,0.75951,0.3177,0.42972,2.0412,0.8319,0.000161,0.000161,0.000161
46,1561.24,0.39565,0.62651,0.91539,0.84548,0.77391,0.78675,0.81337,0.81105,0.77391,0.78675,0.81337,0.78631,0.30567,0.41902,2.07901,0.82853,0.00013625,0.00013625,0.00013625
47,1591.9,0.39246,0.6604,0.9341,0.90944,0.91709,0.66667,0.76615,0.76492,0.91709,0.66667,0.76615,0.73414,0.29503,0.41232,2.17308,0.82689,0.0001115,0.0001115,0.0001115
48,1621.74,0.37439,0.55396,0.86544,0.84045,0.92836,0.66667,0.75417,0.75297,0.92836,0.66667,0.75417,0.73359,0.28253,0.40413,2.22777,0.82589,8.675e-05,8.675e-05,8.675e-05
49,1651.25,0.42555,0.66886,0.8927,0.83642,0.93472,0.66667,0.74578,0.74457,0.93472,0.66667,0.74578,0.71084,0.27659,0.40348,2.24482,0.82404,6.2e-05,6.2e-05,6.2e-05
50,1681.34,0.3922,0.61016,0.88979,0.83941,0.93654,0.66667,0.73964,0.73781,0.93654,0.66667,0.73964,0.70464,0.2709,0.39946,2.28891,0.82264,3.725e-05,3.725e-05,3.725e-05
